Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Fraction,,Run Log,,
ml,mAU,ml,Fraction,ml,Logbook,
0,0.2624439,55.6532,"T1",0,"Method Run 21/01/2026 11:26:27 +00:00 Method: Ovalbumin protein purification Result: /DefaultHome/2026_2300211_ZAG PURIFICATION 001 User Default at computer LAPTOP-2M76BJHH is in control",
0.002,0.27,56.1483,"T2",0,"Batch ID: a2168628-130d-4775-9727-468d061a5985",
0.004,0.27,60.1508,"T3",0,"Base CV, 120.637 {ml}, HiPrep 16/60 Sephacryl S 200 HR",
0.006,0.2752638,63.1381,"Waste",0,"Instrument information:SystemName = ( 00000000000002215351), FW Version = ( V2.01.30 )",
0.008,0.28,83.6995,"T4",0.0016,"SampleValve Buffer",
0.009,0.28,84.1885,"T5",0.0016,"WashValve Column",
0.011,0.2961659,88.1885,"T6",0.0016,"Phase Prime and Equilibration",
0.013,0.3093795,92.1902,"T7",0.0016,"Base SameAsMain",
0.015,0.31,96.1919,"T8",0.035,"BufferValve Buffer B",
0.017,0.3109535,100.1886,"T9",0.035,"WashValve Waste",
0.019,0.32,104.1886,"T10",5.0349,"BufferValve Buffer A",
0.02,0.32,107.0287,"Waste",10.0033,"WashValve Column",
0.022,0.32,,,22.0059,"AutoZeroUV",
0.024,0.3301121,,,22.0059,"Phase Sample Application",
0.026,0.3457913,,,22.0059,"Base SameAsMain",
0.028,0.35,,,22.0142,"Hold 21/01/2026 11:51:28 +00:00",
0.029,0.35,,,22.2576,"Message "Turn the Manual Injection valve to Inject position and press continue." confirmed by Default (Manual)",
0.031,0.3586195,,,22.2593,"Continue 21/01/2026 11:51:57 +00:00",
0.033,0.36,,,23.2778,"Hold 21/01/2026 11:53:59 +00:00",
0.035,0.36,,,23.3678,"Message "Turn the Manual Injection valve to Load position and press continue." confirmed by Default (Manual)",
0.037,0.3615256,,,23.3695,"Continue 21/01/2026 11:54:10 +00:00",
0.039,0.37,,,23.3795,"Phase Elution and Fractionation",
0.04,0.37,,,23.3795,"Base SameAsMain",
0.042,0.37,,,55.6548,"OutletValve Collection",
0.044,0.3755892,,,55.6548,"Delay volume collection started",
0.046,0.38,,,56.1483,"Fractionation\Peak collection started",
0.048,0.38,,,63.1381,"OutletValve Waste",
0.05,0.38,,,63.1381,"Fractionation\Peak collection stopped",
0.051,0.38,,,83.6995,"OutletValve Collection",
0.053,0.38,,,83.7012,"Delay volume collection started",
0.055,0.38,,,84.1885,"Fractionation\Peak collection started",
0.057,0.38,,,107.0287,"BufferValve Buffer A",
0.059,0.38,,,107.0287,"SampleValve Buffer",
0.061,0.38,,,107.0287,"WashValve Waste",
0.062,0.38,,,107.0287,"OutletValve Waste",
0.064,0.38,,,107.0287,"End 21/01/2026 14:41:32 +00:00",
0.066,0.38,,,,,
0.068,0.38,,,,,
0.07,0.38,,,,,
0.071,0.3703143,,,,,
0.073,0.37,,,,,
0.075,0.3682379,,,,,
0.077,0.36,,,,,
0.079,0.36,,,,,
0.081,0.36,,,,,
0.082,0.348677,,,,,
0.084,0.34,,,,,
0.086,0.34,,,,,
0.088,0.34,,,,,
0.09,0.3305163,,,,,
0.092,0.33,,,,,
0.093,0.3284512,,,,,
0.095,0.3153984,,,,,
0.097,0.3,,,,,
0.099,0.3,,,,,
0.101,0.2948767,,,,,
0.103,0.2775418,,,,,
0.104,0.27,,,,,
0.106,0.27,,,,,
0.108,0.2607747,,,,,
0.11,0.25,,,,,
0.112,0.25,,,,,
0.113,0.2479036,,,,,
0.115,0.2343434,,,,,
0.117,0.22,,,,,
0.119,0.22,,,,,
0.121,0.2086869,,,,,
0.123,0.1931943,,,,,
0.124,0.19,,,,,
0.126,0.19,,,,,
0.128,0.1715488,,,,,
0.13,0.17,,,,,
0.132,0.1673962,,,,,
0.134,0.1478308,,,,,
0.135,0.1366256,,,,,
0.137,0.13,,,,,
0.139,0.13,,,,,
0.141,0.1176094,,,,,
0.143,0.11,,,,,
0.145,0.11,,,,,
0.146,0.1009865,,,,,
0.148,0.1,,,,,
0.15,0.1,,,,,
0.152,0.09817059,,,,,
0.154,0.08725864,,,,,
0.156,0.08,,,,,
0.157,0.08,,,,,
0.159,0.07426699,,,,,
0.161,0.07,,,,,
0.163,0.07,,,,,
0.165,0.07,,,,,
0.166,0.06044893,,,,,
0.168,0.06,,,,,
0.17,0.05837444,,,,,
0.172,0.05,,,,,
0.174,0.05,,,,,
0.176,0.05,,,,,
0.177,0.05,,,,,
0.179,0.04369488,,,,,
0.181,0.04,,,,,
0.183,0.04,,,,,
0.185,0.04,,,,,
0.187,0.04,,,,,
0.188,0.04,,,,,
0.19,0.04,,,,,
0.192,0.03709641,,,,,
0.194,0.03,,,,,
0.196,0.03,,,,,
0.198,0.02427609,,,,,
0.199,0.02,,,,,
0.201,0.02,,,,,
0.203,0.02,,,,,
0.205,0.02986889,,,,,
0.207,0.03,,,,,
0.208,0.03,,,,,
0.21,0.03,,,,,
0.212,0.0334417,,,,,
0.214,0.04,,,,,
0.216,0.0344843,,,,,
0.218,0.02373737,,,,,
0.219,0.02,,,,,
0.221,0.02,,,,,
0.223,0.02,,,,,
0.225,0.02,,,,,
0.227,0.02,,,,,
0.229,0.0220143,,,,,
0.23,0.03,,,,,
0.232,0.03,,,,,
0.234,0.03,,,,,
0.236,0.03,,,,,
0.238,0.03,,,,,
0.24,0.03,,,,,
0.241,0.03,,,,,
0.243,0.02038159,,,,,
0.245,0.02,,,,,
0.247,0.02,,,,,
0.249,0.02,,,,,
0.25,0.02,,,,,
0.252,0.02,,,,,
0.254,0.02,,,,,
0.256,0.0134119,,,,,
0.258,0.01,,,,,
0.26,0.01,,,,,
0.261,0.01,,,,,
0.263,0.01,,,,,
0.265,0.01,,,,,
0.267,0.01,,,,,
0.269,0.01,,,,,
0.271,0.01,,,,,
0.272,0.01,,,,,
0.274,0.01,,,,,
0.276,0.01,,,,,
0.278,0.01,,,,,
0.28,0.01,,,,,
0.282,5.966587E-05,,,,,
0.283,0,,,,,
0.285,0,,,,,
0.287,0,,,,,
0.289,0,,,,,
0.291,0,,,,,
0.292,0,,,,,
0.294,0,,,,,
0.296,0,,,,,
0.298,0,,,,,
0.3,0,,,,,
0.302,0,,,,,
0.303,0,,,,,
0.305,0,,,,,
0.307,0,,,,,
0.309,0,,,,,
0.311,0,,,,,
0.313,0,,,,,
0.314,0,,,,,
0.316,0,,,,,
0.318,0,,,,,
0.32,-0.009685746,,,,,
0.322,-0.01,,,,,
0.324,-0.01,,,,,
0.325,-0.01,,,,,
0.327,-0.006165919,,,,,
0.329,0,,,,,
0.331,0,,,,,
0.333,0,,,,,
0.334,-0.007407407,,,,,
0.336,-0.01,,,,,
0.338,-0.01,,,,,
0.34,-0.01,,,,,
0.342,-0.01,,,,,
